Unnamed: 0,image,crop_id,particle_id,X,Y,radius_px,radius_um,overlapping,filtered,BF_px,BF_mean,BF_mean_filt,BF_sd,BF_min,BF_max,ACTB_px,ACTB_mean,ACTB_mean_filt,ACTB_sd,ACTB_min,ACTB_max,PTPRC_px,PTPRC_mean,PTPRC_mean_filt,PTPRC_sd,PTPRC_min,PTPRC_max,YAP_px,YAP_mean,YAP_mean_filt,YAP_sd,YAP_min,YAP_max,class
0,0,0,0,564,175,63,63.0,False,True,12451.0,36326.0225684684,35951.541803278684,7380.993018349591,0.0,65535.0,12451.0,3.152276925548149,3.0,1.0134935317788518,1.0,7.0,12451.0,1.8867560838486868,1.8867560838486868,0.7402256328235932,0.0,6.0,12451.0,2.892779696409927,2.892779696409927,0.9744079213046336,1.0,8.0,Empty
1,0,1,1,1710,397,64,64.0,False,True,12850.999999999998,36403.19453739009,36428.501593371584,7005.64122766714,3783.0,65535.0,12851.0,2.739631157108396,2.739631157108396,0.9799486031316949,1.0,8.0,12851.0,1.8896583923430084,1.8896583923430084,0.7469250949919828,0.0,6.0,12851.0,2.704536611936814,2.704536611936814,0.9840026752620604,1.0,7.0,Empty
2,0,2,2,297,151,62,62.0,False,True,12059.0,34711.83456339663,34550.14049448714,6243.022754505431,0.0,65535.0,12059.0,3.435857036238494,3.435857036238494,0.964892282744976,1.0,7.0,12059.0,1.7044531055643088,1.7044531055643088,0.6724329625184086,0.0,5.0,12059.0,2.8926942532548305,2.8926942532548305,0.9624833455905416,1.0,8.0,Empty
3,0,3,3,1600,325,62,62.0,False,True,12059.0,37001.595488846506,36884.204108902624,6994.063218691731,5930.0,65535.0,12059.0,3.188158222074799,3.0,1.0792492389713508,1.0,8.0,12059.0,2.035575089145037,2.035575089145037,0.783661538746451,0.0,5.0,12059.0,3.0344141305249197,3.0,1.1016319768153058,1.0,8.0,Empty
4,0,4,4,1852,157,61,61.0,False,True,11679.000000000002,35148.000171247535,35165.63870188158,7050.22509931585,0.0,65535.0,11679.0,3.7207808887747236,3.7207808887747236,1.1510042997518717,1.0,8.0,11679.0,1.5814710163541397,1.5814710163541397,0.6208847963165404,0.0,5.0,11679.0,2.987327682164569,3.0,0.97305616448984,1.0,7.0,Empty
5,0,5,5,709,442,63,63.0,False,True,12451.0,36620.218697293385,36722.7058632977,6530.867316495505,0.0,65535.0,12451.0,9.193880009637779,9.714446952595937,3.289451964981407,1.0,19.0,12451.0,2.2372500200787084,2.2372500200787084,0.7683797710425394,1.0,7.0,12451.0,3.4108906915107213,3.4108906915107213,1.0968622687365432,1.0,8.0,Empty
6,0,6,6,1752,271,61,61.0,False,True,11679.0,35911.226988612034,35698.69975404076,6415.103586654461,3374.0,65535.0,11679.0,3.911550646459457,4.0,1.1749749481416156,1.0,8.0,11679.0,1.8179638667694151,1.8179638667694151,0.7052572012417861,1.0,6.0,11679.0,3.20369894682764,3.0,1.095742103891712,1.0,7.0,Empty
7,0,7,7,79,292,61,61.0,False,True,11679.0,34353.494562890664,33728.88519425971,6295.45391744421,5521.0,65535.0,11679.0,3.23015669149756,3.23015669149756,1.0445729753599542,1.0,9.0,11679.0,1.7832862402602965,1.7832862402602965,0.6640820783402743,0.0,5.0,11679.0,3.0497474098809825,3.0,1.0134001044999923,1.0,9.0,Empty
8,0,8,8,1963,96,61,61.0,False,True,11679.0,34897.08237006593,34994.052049109465,6445.44659898188,0.0,65535.0,11679.0,4.107885949139481,4.0,1.1981542339332487,1.0,8.0,11679.0,1.5164825755629765,1.5164825755629765,0.5621397709034197,0.0,4.0,11679.0,3.129891257813169,3.0,1.0260731013132467,1.0,7.0,Empty
9,0,9,9,1863,475,62,62.0,False,True,12059.0,35342.0896425906,35274.079919409,6592.317206574146,0.0,65535.0,12059.0,2.957293307902811,3.0,1.0170209962951655,1.0,7.0,12059.0,1.7772617961688366,1.7772617961688366,0.6760644973815324,0.0,5.0,12059.0,2.7650717306576,2.7650717306576,1.041292271127257,1.0,7.0,Empty
10,0,10,10,672,241,61,61.0,False,True,11679.000000000002,36248.537203527696,36230.261200484354,6845.158422432835,1227.0,65535.0,11679.0,3.9601849473413817,4.0,1.1670361114498604,1.0,8.0,11679.0,2.076119530781745,2.076119530781745,0.7395317754839963,0.0,5.0,11679.0,3.0727802037845704,3.0,1.127011405141663,1.0,8.0,Empty
11,0,11,11,402,222,63,63.0,False,True,12451.0,34813.616095092766,34712.02658352478,6743.482929799018,0.0,65535.0,12451.0,3.253473616576982,3.253473616576982,0.9638905510818884,1.0,7.0,12451.0,1.8577624287205847,1.8577624287205847,0.6986279830145974,1.0,5.0,12451.0,2.9265119267528714,3.0,1.0168351743639967,1.0,7.0,Empty
12,0,12,12,235,381,60,60.0,False,True,11287.0,34520.71701958005,34531.697640653365,6341.205921807185,0.0,65535.0,11287.0,3.1411358199698767,3.0,1.0996334931834837,1.0,8.0,11287.0,1.8690528927084256,1.8690528927084256,0.7022638136929719,0.0,6.0,11287.0,2.789669531319217,2.789669531319217,1.0502007160632818,1.0,8.0,Empty
13,0,13,13,1024,313,62,62.0,False,True,12059.0,38084.02910689112,38098.54975335942,6571.771890288811,0.0,65535.0,12059.0,3.326063521021644,3.326063521021644,1.0029361586520735,1.0,8.0,12059.000000000002,2.449622688448461,2.449622688448461,0.8179584077537374,1.0,6.0,12059.0,2.9231279542250603,3.0,0.9932076982846474,1.0,7.0,Empty
14,0,14,14,1419,514,60,60.0,False,True,11287.0,37129.1543368477,37315.821633237814,6251.480405142645,204.0,65535.0,11287.0,2.8974040932045715,2.8974040932045715,1.0439612297233507,0.0,7.0,11287.000000000002,2.261805617081598,2.261805617081598,0.7723724898025556,1.0,6.0,11287.0,2.5963497829361213,2.5963497829361213,0.9898469968950092,0.0,6.0,Empty
15,0,15,15,166,112,63,63.0,False,True,12451.0,33453.32993333869,33406.787038529736,7602.684381121089,0.0,65535.0,12451.0,3.78186491044896,3.78186491044896,1.1010886435022753,1.0,7.0,12451.0,1.7621877760822424,1.7621877760822424,0.6519918761396076,0.0,6.0,12451.0,3.1824753031884985,3.1824753031884985,0.9859431310244554,1.0,7.0,Empty
16,0,16,16,399,354,62,62.0,False,True,12059.0,34733.522016750976,35083.29199267521,6918.061410886132,307.0,65535.0,12059.0,3.3912430549796837,3.3912430549796837,1.206174349251904,1.0,8.0,12059.0,1.948834895099096,1.948834895099096,0.6873594289131479,1.0,5.0,12059.0,2.7988224562567376,2.7988224562567376,1.017711273762154,1.0,7.0,Empty
17,0,17,17,691,579,62,62.0,False,True,12058.999999999998,36572.31669292645,36508.68691275168,6471.1659724376705,511.0,65535.0,12058.999999999998,2.6622439671614564,2.6622439671614564,0.9663601130887426,0.0,7.0,12059.000000000002,2.3184343643751557,2.3184343643751557,0.8422863088769278,1.0,6.0,12059.0,2.646488100174144,2.646488100174144,0.933655349715625,1.0,6.0,Empty
18,0,18,18,1741,109,57,57.0,False,True,10187.0,35431.019731029744,35548.55109343936,7348.73043812513,0.0,65535.0,10187.0,3.4130754883675274,3.4130754883675274,1.0813471716337082,1.0,8.0,10187.0,1.7666633945224306,1.7666633945224306,0.7165435511694118,0.0,5.0,10187.0,3.2648473544713847,3.0,1.1299852986078247,1.0,8.0,Empty
19,0,19,19,463,106,61,61.0,False,True,11679.0,35479.576504837736,35280.590282563746,6531.734176434681,0.0,65535.0,11679.0,3.744327425293261,3.744327425293261,1.1230699950946121,1.0,8.0,11679.0,1.9319291035191368,1.9319291035191368,0.7270113916584389,1.0,6.0,11679.0,2.985015840397294,3.0,1.0381199857892491,1.0,7.0,Empty
20,0,20,20,1738,525,63,63.0,False,True,12451.0,35924.125050196766,35977.635216054376,7099.219805193113,0.0,65535.0,12451.0,2.765159424945788,2.765159424945788,0.9129365965620728,1.0,6.0,12451.0,1.9096458115813992,1.9096458115813992,0.7164637735226432,0.0,5.0,12451.0,2.7169705244558666,2.7169705244558666,0.9936996988493312,1.0,6.0,Empty
21,0,21,21,1951,232,61,61.0,False,True,11679.0,34458.48385991951,34672.836379310334,7014.787690886078,0.0,65535.0,11679.0,4.275879784228102,4.0,1.3301330074674236,1.0,10.0,11679.0,1.6924394211833205,1.6924394211833205,0.6223319557767902,0.0,5.0,11679.0,3.430002568713075,3.430002568713075,1.1087971905886396,1.0,9.0,Empty
22,0,22,22,921,376,62,62.0,False,True,12059.0,36996.05572601377,37433.28174936922,7330.485377224777,409.0,65535.0,12059.0,3.896508831578074,4.0,1.151614672857194,1.0,9.0,12059.0,2.5623186002156064,2.5623186002156064,0.8424194821803698,1.0,6.0,12059.0,3.034082428062028,3.0,1.0599804310195222,1.0,7.0,Empty
23,0,23,23,796,234,62,62.0,False,True,12059.000000000002,36388.984161207394,36259.78092999832,6997.605278863187,0.0,65535.0,12059.000000000002,32.169334107305744,34.895196506550214,11.938957367495608,2.0,51.0,12059.0,2.2943859358155736,2.2943859358155736,0.7957996710846532,1.0,8.0,12059.0,6.282776349614396,6.452251468348924,2.0204143607737763,1.0,13.0,Empty
24,0,24,24,2059,174,63,63.0,False,True,12451.0,34300.40976628383,34477.732007116276,7365.399487006413,0.0,65535.0,12451.0,3.474098465986668,3.474098465986668,1.0401310885332111,1.0,8.0,12451.0,1.5139346237250018,1.5139346237250018,0.5837141582309724,0.0,4.0,12451.0,3.2794956228415386,3.2794956228415386,1.0506166266349826,1.0,7.0,Empty
25,0,25,25,1168,484,61,61.0,False,True,11679.000000000002,37595.19273910437,37827.694668537355,6372.453671799005,3374.0,65535.0,11679.000000000002,43.24231526671804,47.38508064516129,17.911500164797467,2.0,69.0,11679.0,2.9208836372977136,2.9208836372977136,1.016892027909713,1.0,10.0,11678.999999999998,9.35191369124069,9.68848663439276,3.7705583940188188,1.0,20.0,Empty
26,0,26,26,507,411,57,57.0,False,True,10187.0,35315.8999705507,35634.868207864056,7651.790385367791,0.0,65535.0,10187.0,3.13428879945028,3.0,1.1205134974305409,1.0,8.0,10187.0,1.9967605772062436,1.9967605772062436,0.7343065809386682,0.0,5.0,10187.0,2.7539020320015712,2.7539020320015712,0.955577181858512,1.0,7.0,Empty
27,0,27,27,1501,597,62,62.0,False,True,12059.0,37236.46670536529,37278.10619618437,6638.308763796793,204.0,65535.0,12059.0,2.6011277883738293,2.6011277883738293,0.9765228469214592,1.0,7.0,12059.0,2.179616883655361,2.179616883655361,0.7770310468050943,1.0,6.0,12059.0,2.5532797081018326,2.5532797081018326,0.950579006061806,0.0,7.0,Empty
